City,State,County,Lat,Lon,Population,Density
New York,NY,New York,40.6943,-73.9249,8537673,10934
Los Angeles,CA,Los Angeles,34.114,-118.4068,3976322,3275
Chicago,IL,Cook,41.8373,-87.6861,2704958,4585
Brooklyn,NY,Kings,40.6501,-73.9496,2629150,14606
Queens,NY,Queens,40.7498,-73.7976,2333054,8247
Houston,TX,Harris,29.7871,-95.3936,2303482,1412
Manhattan,NY,New York,40.7834,-73.9662,1643734,27799
Phoenix,AZ,Maricopa,33.5722,-112.0891,1615017,1204
Philadelphia,PA,Philadelphia,40.0076,-75.134,1567872,4511
San Antonio,TX,Bexar,29.4722,-98.5247,1492510,1250
Bronx,NY,Bronx,40.8501,-73.8662,1455720,13202
San Diego,CA,San Diego,32.8312,-117.1225,1406630,1670
Dallas,TX,Dallas,32.7938,-96.7659,1317929,1490
San Jose,CA,Santa Clara,37.302,-121.8488,1025350,2242
Austin,TX,Travis,30.3038,-97.7545,947890,1170
Jacksonville,FL,Duval,30.3322,-81.6749,880619,454
San Francisco,CA,San Francisco,37.7561,-122.4429,870887,7170
Columbus,OH,Franklin,39.9859,-82.9852,860090,1522
Indianapolis,IN,Marion,39.7771,-86.1458,855164,913
Fort Worth,TX,Tarrant,32.7813,-97.3466,854113,968
Charlotte,NC,Mecklenburg,35.208,-80.8308,842051,1065
Seattle,WA,King,47.6217,-122.3238,704352,3243
Denver,CO,Denver,39.7621,-104.8759,693060,1745
El Paso,TX,El Paso,31.8478,-106.431,683080,1027
Washington,DC,District of Columbia,38.9047,-77.0163,681170,4301
Boston,MA,Suffolk,42.3189,-71.0838,673184,5373
Detroit,MI,Wayne,42.3834,-83.1024,672795,1872
Nashville,TN,Davidson,36.1714,-86.7844,660388,535
Memphis,TN,Shelby,35.1047,-89.9773,652717,794
Portland,OR,Multnomah,45.5372,-122.65,639863,1851
Oklahoma City,OK,Oklahoma,35.4677,-97.5138,638367,406
Las Vegas,NV,Clark,36.2288,-115.2603,632912,1829
Louisville,KY,Jefferson,38.1662,-85.6488,616261,902
Baltimore,MD,Baltimore (city),39.3051,-76.6144,614664,2931
Milwaukee,WI,Milwaukee,43.064,-87.9669,595047,2388
Albuquerque,NM,Bernalillo,35.1055,-106.6476,559277,1147
Tucson,AZ,Pima,32.1558,-110.8777,530706,887
Fresno,CA,Fresno,36.7834,-119.7933,522053,1774
Sacramento,CA,Sacramento,38.5666,-121.4683,495234,1952
Mesa,AZ,Maricopa,33.4016,-111.718,484587,1357
Kansas City,MO,Jackson,39.1239,-94.5541,481420,590
Staten Island,NY,Richmond,40.5834,-74.1496,476015,3155
Atlanta,GA,Fulton,33.7627,-84.4231,472522,1370
Long Beach,CA,Los Angeles,33.8059,-118.161,470130,3607
Colorado Springs,CO,El Paso,38.8673,-104.7605,465101,919
Raleigh,NC,Wake,35.8323,-78.6441,458880,1225
Miami,FL,Miami-Dade,25.784,-80.2102,453579,4866
Virginia Beach,VA,Virginia Beach (city),36.7335,-76.0435,452602,699
Omaha,NE,Douglas,41.2634,-96.0453,446970,1295
Oakland,CA,Alameda,37.7903,-122.2165,420005,2901
Minneapolis,MN,Hennepin,44.9635,-93.2679,413651,2957
Tulsa,OK,Tulsa,36.1284,-95.9037,403090,790
Arlington,TX,Tarrant,32.6998,-97.1251,392772,1581
New Orleans,LA,Orleans,30.0687,-89.9288,391495,892
Wichita,KS,Sedgwick,37.6894,-97.344,389902,942
Cleveland,OH,Cuyahoga,41.4766,-81.6805,385809,1917
Tampa,FL,Hillsborough,27.9937,-82.4454,377165,1283
Bakersfield,CA,Kern,35.3528,-119.0354,376380,977
Aurora,CO,Adams,39.7085,-104.7274,361710,909
Honolulu,HI,Honolulu,21.3293,-157.846,351792,2244
Anaheim,CA,Orange,33.839,-117.8572,351043,2712
Santa Ana,CA,Orange,33.7366,-117.8819,334217,4753
Corpus Christi,TX,Nueces,27.7173,-97.3822,325733,720
Riverside,CA,Riverside,33.9382,-117.3949,324722,1544
Lexington,KY,Fayette,38.0423,-84.4587,318449,433
Saint Louis,MO,St. Louis (city),38.6358,-90.2451,311404,1940
Stockton,CA,San Joaquin,37.9766,-121.3111,307072,1922
Pittsburgh,PA,Allegheny,40.4396,-79.9763,303625,2116
Saint Paul,MN,Ramsey,44.9477,-93.104,302398,2246
Cincinnati,OH,Hamilton,39.1412,-84.506,298800,1480
Anchorage,AK,Anchorage,61.1508,-149.1091,298192,67
Henderson,NV,Clark,36.0145,-115.0362,292969,1080
Greensboro,NC,Guilford,36.096,-79.8275,287027,874
Plano,TX,Collin,33.0502,-96.7487,286057,1541
Newark,NJ,Essex,40.7242,-74.1724,281764,4496
Lincoln,NE,Lancaster,40.8102,-96.6808,280364,1183
Toledo,OH,Lucas,41.6639,-83.582,278508,1332
Orlando,FL,Orange,28.4801,-81.3448,277173,1041
Chula Vista,CA,San Diego,32.6281,-117.0144,267172,2078
Irvine,CA,Orange,33.6772,-117.7738,266122,1566
Fort Wayne,IN,Allen,41.0885,-85.1436,264488,923
Jersey City,NJ,Hudson,40.7161,-74.0683,264152,6894
Durham,NC,Durham,35.9801,-78.9045,263016,929
Saint Petersburg,FL,Pinellas,27.7931,-82.6652,260999,1631
Laredo,TX,Webb,27.5536,-99.489,257156,1015
Buffalo,NY,Erie,42.9016,-78.8487,256902,2456
Madison,WI,Dane,43.0809,-89.3921,252551,1268
Lubbock,TX,Lubbock,33.5665,-101.8867,252506,794
Chandler,AZ,Maricopa,33.2828,-111.8517,247477,1474
Scottsdale,AZ,Maricopa,33.6872,-111.865,246645,517
Glendale,AZ,Maricopa,33.5797,-112.2246,245895,1604
Reno,NV,Washoe,39.5487,-119.8486,245255,882
Norfolk,VA,Norfolk (city),36.8945,-76.259,245115,1749
Winston-Salem,NC,Forsyth,36.1029,-80.261,242203,705
North Las Vegas,NV,Clark,36.288,-115.0901,238702,940
Irving,TX,Dallas,32.8584,-96.9702,238289,1372
Chesapeake,VA,Chesapeake (city),36.6778,-76.3024,237940,269
Gilbert,AZ,Maricopa,33.3103,-111.7463,237133,1346
Hialeah,FL,Miami-Dade,25.8696,-80.3045,236387,4249
Garland,TX,Dallas,32.91,-96.6305,234943,1590
Fremont,CA,Alameda,37.5256,-121.987,233136,1162
Baton Rouge,LA,East Baton Rouge,30.4422,-91.1314,227715,1023
Richmond,VA,Richmond (city),37.5294,-77.4755,223170,1440
Boise,ID,Ada,43.5991,-116.2306,223154,1070
San Bernardino,CA,San Bernardino,34.1412,-117.2936,216239,1357
Spokane,WA,Spokane,47.6671,-117.433,215973,1213
Des Moines,IA,Polk,41.5725,-93.6104,215472,935
Modesto,CA,Stanislaus,37.6371,-121.003,212175,1831
Birmingham,AL,Jefferson,33.5276,-86.7986,212157,560
Tacoma,WA,Pierce,47.2431,-122.4531,211277,1640
Fontana,CA,San Bernardino,34.0967,-117.4599,209665,1879
Rochester,NY,Monroe,43.1681,-77.6162,208880,2253
Oxnard,CA,Ventura,34.1961,-119.1821,207906,2984
Moreno Valley,CA,Riverside,33.9244,-117.2045,205499,1547
Fayetteville,NC,Cumberland,35.0847,-78.9777,204759,534
Aurora,IL,Kane,41.7638,-88.2901,201110,1729
Glendale,CA,Los Angeles,34.1818,-118.2468,200831,2547
Yonkers,NY,Westchester,40.9466,-73.8674,200807,4304
Huntington Beach,CA,Orange,33.696,-118.0023,200652,2857
Montgomery,AL,Montgomery,32.347,-86.2663,200022,483
Amarillo,TX,Potter,35.1999,-101.8297,199582,770
Little Rock,AR,Pulaski,34.7255,-92.3584,198541,645
Akron,OH,Summit,41.0802,-81.5219,197633,1230
Columbus,GA,Muscogee,32.51,-84.8771,197485,352
Augusta,GA,Richmond,33.3644,-82.0708,197081,251
Grand Rapids,MI,Kent,42.9615,-85.6557,196445,1707
Shreveport,LA,Caddo,32.4659,-93.7959,194920,702
Salt Lake City,UT,Salt Lake,40.7774,-111.9301,193744,672
Huntsville,AL,Madison,34.699,-86.6412,193079,349
Mobile,AL,Mobile,30.6782,-88.1161,192904,535
Tallahassee,FL,Leon,30.4549,-84.2527,190894,733
Grand Prairie,TX,Dallas,32.6869,-97.0209,190682,1019
Overland Park,KS,Johnson,38.8871,-94.6871,188966,971
Knoxville,TN,Knox,35.969,-83.9498,186239,729
Port Saint Lucie,FL,St. Lucie,27.2795,-80.3882,185132,602
Worcester,MA,Worcester,42.2705,-71.8079,184508,1906
Brownsville,TX,Cameron,25.9981,-97.4566,183823,535
Tempe,AZ,Maricopa,33.3881,-111.9318,182498,1762
Santa Clarita,CA,Los Angeles,34.4119,-118.5036,181972,1332
Newport News,VA,Newport News (city),37.1052,-76.5185,181825,1019
Cape Coral,FL,Lee,26.644,-81.9961,179804,657
Providence,RI,Providence,41.8229,-71.4186,179219,3760
Fort Lauderdale,FL,Broward,26.1412,-80.1464,178752,1994
Chattanooga,TN,Hamilton,35.0657,-85.2488,177571,479
Rancho Cucamonga,CA,San Bernardino,34.1246,-117.5662,176534,1709
Oceanside,CA,San Diego,33.2247,-117.3083,175464,1642
Santa Rosa,CA,Sonoma,38.4465,-122.7059,175155,1637
Garden Grove,CA,Orange,33.7787,-117.9601,174858,3759
Vancouver,WA,Clark,45.6352,-122.5972,174826,1440
Sioux Falls,SD,Minnehaha,43.5382,-96.7315,174360,898
Ontario,CA,San Bernardino,34.0393,-117.6064,173212,1339
McKinney,TX,Collin,33.1989,-96.6678,172298,1069
Elk Grove,CA,Sacramento,38.416,-121.3841,169743,1553
Jackson,MS,Hinds,32.3163,-90.2124,169148,588
Pembroke Pines,FL,Broward,26.0127,-80.3384,168587,1978
Salem,OR,Marion,44.9231,-123.0245,167419,1330
Springfield,MO,Greene,37.1943,-93.2916,167319,787
Corona,CA,Riverside,33.8623,-117.5642,166785,1658
Eugene,OR,Lane,44.0562,-123.1172,166575,1459
Fort Collins,CO,Larimer,40.5487,-105.0656,164207,1154
Peoria,AZ,Maricopa,33.7844,-112.2989,164173,360
Frisco,TX,Collin,33.1551,-96.8219,163656,935
Cary,NC,Wake,35.7815,-78.8162,162320,1128
Lancaster,CA,Los Angeles,34.6934,-118.1753,160106,655
Hayward,CA,Alameda,37.6327,-122.0776,158937,1351
Palmdale,CA,Los Angeles,34.5945,-118.1058,157356,573
Salinas,CA,Monterey,36.6881,-121.6316,157218,2571
Alexandria,VA,Alexandria (city),38.8184,-77.0861,155810,3997
Lakewood,CO,Jefferson,39.6977,-105.117,154393,1390
Springfield,MA,Hampden,42.1155,-72.5395,154074,1866
Pasadena,TX,Harris,29.6583,-95.1498,153351,1361
Sunnyvale,CA,Santa Clara,37.3846,-122.0261,152771,2683
Pomona,CA,Los Angeles,34.0585,-117.7625,152494,2565
Hollywood,FL,Broward,26.0293,-80.1679,151998,2151
Kansas City,KS,Wyandotte,39.1234,-94.7443,151709,469
Escondido,CA,San Diego,33.1349,-117.0721,151613,1579
Clarksville,TN,Montgomery,36.5696,-87.3428,150287,590
Joliet,IL,Will,41.5201,-88.1503,148262,906
Rockford,IL,Winnebago,42.2594,-89.0646,147651,899
Torrance,CA,Los Angeles,33.8346,-118.3417,147195,2775
Naperville,IL,DuPage,41.7483,-88.1656,147122,1469
Paterson,NJ,Passaic,40.9147,-74.1624,147000,6734
Savannah,GA,Chatham,32.0282,-81.1784,146763,548
Bridgeport,CT,Fairfield,41.1909,-73.1958,145936,3508
Mesquite,TX,Dallas,32.7621,-96.5888,143736,1174
Killeen,TX,Bell,31.0758,-97.7286,143400,1034
Syracuse,NY,Onondaga,43.0409,-76.1438,143378,2210
McAllen,TX,Hidalgo,26.2203,-98.2457,142212,1113
Pasadena,CA,Los Angeles,34.1598,-118.1389,142059,2386
Bellevue,WA,King,47.5953,-122.155,141400,1630
Fullerton,CA,Orange,33.8841,-117.9279,140721,2422
Orange,CA,Orange,33.8038,-117.8219,140504,2139
Dayton,OH,Montgomery,39.7798,-84.1999,140489,974
Miramar,FL,Broward,25.9773,-80.3357,138449,1819
Thornton,CO,Adams,39.9202,-104.9445,136703,1478
West Valley City,UT,Salt Lake,40.6889,-112.0115,136574,1486
Olathe,KS,Johnson,38.884,-94.8194,135473,865
Hampton,VA,Hampton (city),37.0551,-76.3629,135410,1015
Warren,MI,Macomb,42.4934,-83.027,135125,1517
Midland,TX,Midland,32.0278,-102.1107,134610,711
Waco,TX,McLennan,31.5597,-97.1882,134432,583
Charleston,SC,Charleston,32.8137,-79.9643,134385,475
Columbia,SC,Richland,34.0366,-80.9043,134309,388
Denton,TX,Denton,33.2165,-97.1411,133808,554
Carrollton,TX,Dallas,32.9885,-96.9001,133351,1419
Surprise,AZ,Maricopa,33.6802,-112.4525,132677,474
Roseville,CA,Placer,38.7683,-121.3164,132671,1213
Sterling Heights,MI,Macomb,42.581,-83.0304,132427,1400
Murfreesboro,TN,Rutherford,35.851,-86.4093,131947,911
Gainesville,FL,Alachua,29.6814,-82.3454,131591,820
Cedar Rapids,IA,Linn,41.9667,-91.6781,131127,715
Visalia,CA,Tulare,36.3271,-119.3265,131074,1358
Coral Springs,FL,Broward,26.2702,-80.2593,130059,2110
New Haven,CT,New Haven,41.3112,-72.9245,129934,2684
Stamford,CT,Fairfield,41.1035,-73.5583,129113,1325
Thousand Oaks,CA,Ventura,34.1914,-118.8755,128888,901
Concord,CA,Contra Costa,37.9722,-122.0016,128726,1627
Elizabeth,NJ,Union,40.6655,-74.1918,128640,4032
Lafayette,LA,Lafayette,30.2097,-92.0314,127626,915
Kent,WA,King,47.3887,-122.2128,127514,1459
Topeka,KS,Shawnee,39.0347,-95.6955,126808,804
Simi Valley,CA,Ventura,34.2663,-118.749,126327,1175
Santa Clara,CA,Santa Clara,37.3646,-121.9679,125948,2641
Athens,GA,Clarke,33.9508,-83.3689,123371,409
Hartford,CT,Hartford,41.7661,-72.6834,123243,2737
Victorville,CA,San Bernardino,34.5277,-117.3537,122265,643
Abilene,TX,Taylor,32.4543,-99.7384,122225,442
Norman,OK,Cleveland,35.2335,-97.3471,122180,263
Vallejo,CA,Solano,38.1134,-122.2359,121299,1526
Berkeley,CA,Alameda,37.8723,-122.276,121240,4472
Round Rock,TX,Williamson,30.5253,-97.6659,120892,1315
Ann Arbor,MI,Washtenaw,42.2757,-83.7312,120782,1672
Fargo,ND,Cass,46.8654,-96.829,120762,952
Columbia,MO,Boone,38.9475,-92.3263,120612,721
Allentown,PA,Lehigh,40.5962,-75.4756,120443,2650
Evansville,IN,Vanderburgh,37.9882,-87.5339,119477,974
Beaumont,TX,Jefferson,30.0849,-94.1451,118299,556
Odessa,TX,Ector,31.8831,-102.3407,117871,1007
Wilmington,NC,New Hanover,34.21,-77.886,117525,879
Arvada,CO,Jefferson,39.8321,-105.1508,117453,1182
Independence,MO,Jackson,39.0871,-94.3503,117030,580
Provo,UT,Utah,40.2458,-111.6457,116868,1083
Lansing,MI,Ingham,42.7142,-84.5598,116020,1144
El Monte,CA,Los Angeles,34.0739,-118.0291,115807,4675
Springfield,IL,Sangamon,39.7713,-89.6538,115715,745
Fairfield,CA,Solano,38.2593,-122.0319,114756,1083
Clearwater,FL,Pinellas,27.9787,-82.7623,114361,1708
Peoria,IL,Peoria,40.7518,-89.6153,114265,914
Rochester,MN,Olmsted,44.0152,-92.4776,114011,806
Carlsbad,CA,San Diego,33.1246,-117.2836,113952,1166
Westminster,CO,Adams,39.8837,-105.0627,113875,1387
West Jordan,UT,Salt Lake,40.6024,-112.0008,113699,1358
Pearland,TX,Brazoria,29.5585,-95.3201,113570,946
Richardson,TX,Dallas,32.9717,-96.7092,113347,1532
Downey,CA,Los Angeles,33.9379,-118.1312,113267,3524
Miami Gardens,FL,Miami-Dade,25.9433,-80.2425,113058,2394
Temecula,CA,Riverside,33.4928,-117.1315,113054,1173
Costa Mesa,CA,Orange,33.6667,-117.9135,112822,2770
College Station,TX,Brazos,30.5857,-96.296,112141,855
Elgin,IL,Kane,42.0385,-88.3227,112123,1159
Murrieta,CA,Riverside,33.572,-117.1909,111674,1283
Gresham,OR,Multnomah,45.5023,-122.4414,111523,1849
High Point,NC,Guilford,35.9899,-79.9937,111223,778
Antioch,CA,Contra Costa,37.9789,-121.7958,110898,1456
Inglewood,CA,Los Angeles,33.9566,-118.3444,110654,4711
Cambridge,MA,Middlesex,42.3758,-71.1184,110651,6686
Lowell,MA,Middlesex,42.6389,-71.3217,110558,3142
Manchester,NH,Hillsborough,42.9844,-71.4445,110506,1288
Billings,MT,Yellowstone,45.7892,-108.5498,110323,985
Pueblo,CO,Pueblo,38.2701,-104.613,110291,794
Palm Bay,FL,Brevard,27.9861,-80.6628,110104,646
Centennial,CO,Arapahoe,39.5927,-104.8674,109932,1449
Richmond,CA,Contra Costa,37.9477,-122.339,109813,1410
Pompano Beach,FL,Broward,26.2428,-80.1312,109393,1756
North Charleston,SC,Charleston,32.9086,-80.0705,109298,572
Everett,WA,Snohomish,47.9524,-122.1672,109043,1271
Waterbury,CT,New Haven,41.5583,-73.0361,108272,1465
West Palm Beach,FL,Palm Beach,26.7468,-80.1315,108161,756
Boulder,CO,Boulder,40.0274,-105.2514,108090,1678
West Covina,CA,Los Angeles,34.0555,-117.9112,107847,2595
Broken Arrow,OK,Tulsa,36.0367,-95.7808,107403,672
Clovis,CA,Fresno,36.8283,-119.6851,106583,1709
Daly City,CA,San Mateo,37.6863,-122.4684,106472,5380
Lakeland,FL,Polk,28.0556,-81.9542,106420,626
Santa Maria,CA,Santa Barbara,34.9334,-120.4433,106290,1801
Norwalk,CA,Los Angeles,33.9069,-118.0829,106178,4222
Sandy Springs,GA,Fulton,33.9366,-84.3703,105703,1083
Hillsboro,OR,Washington,45.5289,-122.9373,105164,1671
Green Bay,WI,Brown,44.5151,-87.9895,105139,893
Tyler,TX,Smith,32.3184,-95.3065,104798,714
Wichita Falls,TX,Wichita,33.9072,-98.5293,104724,559
Lewisville,TX,Denton,33.0453,-96.9823,104659,1101
Burbank,CA,Los Angeles,34.188,-118.3234,104447,2325
Greeley,CO,Weld,40.415,-104.7697,103990,839
San Mateo,CA,San Mateo,37.5522,-122.3122,103959,3309
El Cajon,CA,San Diego,32.8017,-116.9604,103768,2767
Rialto,CA,San Bernardino,34.1128,-117.3885,103314,1785
Davenport,IA,Scott,41.5558,-90.6052,102612,629
League City,TX,Galveston,29.4873,-95.109,102010,768
Davie,FL,Broward,26.0789,-80.287,101871,1127
Las Cruces,NM,Doña Ana,32.3265,-106.7893,101759,510
South Bend,IN,St. Joseph,41.6771,-86.269,101735,950
Vista,CA,San Diego,33.1895,-117.2386,101659,2101
Renton,WA,King,47.4757,-122.1904,100953,1663
San Angelo,TX,Tom Green,31.4424,-100.4503,100702,652
Roanoke,VA,Roanoke (city),37.2784,-79.9581,99660,904
Kenosha,WI,Kenosha,42.5861,-87.8755,99631,1391
Tuscaloosa,AL,Tuscaloosa,33.2349,-87.5268,99543,623
Allen,TX,Collin,33.1087,-96.6735,99179,1451
Erie,PA,Erie,42.1167,-80.0731,98593,1989
Sparks,NV,Washoe,39.5727,-119.7131,98345,1049
Vacaville,CA,Solano,38.3592,-121.9686,98303,1317
Albany,NY,Albany,42.6664,-73.7987,98111,1771
Beaverton,OR,Washington,45.4779,-122.8168,97590,1930
Compton,CA,Los Angeles,33.893,-118.2275,97550,3761
Orem,UT,Utah,40.2988,-111.699,97499,2065
Flint,MI,Genesee,43.0235,-83.6921,97386,1125
Federal Way,WA,King,47.3091,-122.3358,96757,1677
Mission Viejo,CA,Orange,33.6095,-117.655,96396,2103
Spokane Valley,WA,Spokane,47.6625,-117.2345,96340,986
Boca Raton,FL,Palm Beach,26.3749,-80.1078,96114,1265
Lees Summit,MO,Jackson,38.9172,-94.3816,96076,581
Rio Rancho,NM,Sandoval,35.2873,-106.6979,96028,358
Brockton,MA,Plymouth,42.0821,-71.0242,95630,1731
Meridian,ID,Ada,43.6182,-116.398,95623,1351
South Gate,CA,Los Angeles,33.9448,-118.1926,95538,5097
Lawrence,KS,Douglas,38.9603,-95.2643,95358,1072
San Marcos,CA,San Diego,33.135,-117.1743,95261,1509
Portsmouth,VA,Portsmouth (city),36.8468,-76.354,95252,1087
New Bedford,MA,Bristol,41.6697,-70.9428,95032,1834
Yuma,AZ,Yuma,32.599,-114.5489,94906,303
Lawton,OK,Comanche,34.6171,-98.4204,94653,450
Roswell,GA,Fulton,34.0391,-84.3513,94598,897
Dearborn,MI,Wayne,42.3127,-83.213,94444,1504
Livonia,MI,Wayne,42.3972,-83.3733,94041,1017
Yakima,WA,Yakima,46.5926,-120.5492,93986,1313
Sunrise,FL,Broward,26.1547,-80.2998,93734,2214
Hesperia,CA,San Bernardino,34.3974,-117.3144,93724,495
Quincy,MA,Norfolk,42.2516,-71.0183,93688,2183
Longmont,CO,Boulder,40.1691,-105.0995,92858,1312
Carson,CA,Los Angeles,33.8374,-118.2559,92797,1913
Plantation,FL,Broward,26.126,-80.2617,92706,1654
Lynn,MA,Essex,42.4778,-70.9662,92697,3332
Santa Monica,CA,Los Angeles,34.0232,-118.4813,92478,4243
Santa Barbara,CA,Santa Barbara,34.4285,-119.7202,91930,1821
Miami Beach,FL,Miami-Dade,25.8171,-80.1396,91917,4618
Redding,CA,Shasta,40.5698,-122.365,91808,594
Chico,CA,Butte,39.7568,-121.816,91567,1072
Westminster,CA,Orange,33.7523,-117.9938,91565,3520
Greenville,NC,Pitt,35.5958,-77.3764,91495,1015
Nampa,ID,Canyon,43.5833,-116.5641,91382,1136
Edmond,OK,Oklahoma,35.6689,-97.4159,91191,415
Bend,OR,Deschutes,44.0562,-121.3087,91122,1065
Carmel,IN,Hamilton,39.9658,-86.1461,91065,740
San Leandro,CA,Alameda,37.7071,-122.1601,90465,2616
Fishers,IN,Hamilton,39.959,-85.968,90127,1011
Deltona,FL,Volusia,28.9051,-81.2134,90124,927
Concord,NC,Cabarrus,35.3939,-80.6358,89891,567
Tracy,CA,San Joaquin,37.7254,-121.4447,89274,1527
Suffolk,VA,Suffolk (city),36.6953,-76.6398,89273,86
Asheville,NC,Buncombe,35.5703,-82.5536,89121,759
Livermore,CA,Alameda,37.6863,-121.7607,89115,1280
Newton,MA,Middlesex,42.3317,-71.2085,89045,1927
Fall River,MA,Bristol,41.7136,-71.1014,88930,1036
Menifee,CA,Riverside,33.6909,-117.1849,88531,735
Indio,CA,Riverside,33.7346,-116.2347,88488,1028
Norwalk,CT,Fairfield,41.1144,-73.4215,88438,1491
Waukegan,IL,Lake,42.3697,-87.8716,88182,1416
Sugar Land,TX,Fort Bend,29.5956,-95.6283,88177,1013
Fort Smith,AR,Sebastian,35.3494,-94.3695,88133,538
Hawthorne,CA,Los Angeles,33.9147,-118.3476,88031,5589
Nashua,NH,Hillsborough,42.7492,-71.491,87882,1099
Chino,CA,San Bernardino,33.9836,-117.6653,87776,1142
Kirkland,WA,King,47.6996,-122.1982,87701,1900
Edinburg,TX,Hidalgo,26.3183,-98.1622,87650,867
Reading,PA,Berks,40.34,-75.9266,87575,3425
Bellingham,WA,Whatcom,48.7534,-122.4683,87574,1249
Citrus Heights,CA,Sacramento,38.6948,-121.288,87432,2372
Whittier,CA,Los Angeles,33.9678,-118.0188,86883,2289
Ogden,UT,Weber,41.2281,-111.9677,86701,1230
Newport Beach,CA,Orange,33.6151,-117.8669,86688,1407
Champaign,IL,Champaign,40.1148,-88.2731,86637,1473
Duluth,MN,St. Louis,46.7797,-92.1334,86293,492
O'Fallon,MO,St. Charles,38.7853,-90.7178,86274,1121
Clifton,NJ,Passaic,40.8631,-74.1575,85845,2941
Alhambra,CA,Los Angeles,34.084,-118.1355,85474,4324
Bloomington,MN,Hennepin,44.8306,-93.315,85319,949
Palm Coast,FL,Flagler,29.5403,-81.2468,85109,346
Danbury,CT,Fairfield,41.4016,-73.471,84992,782
Hoover,AL,Jefferson,33.3761,-86.8065,84978,698
Redwood City,CA,San Mateo,37.5026,-122.2251,84950,1684
Bloomington,IN,Monroe,39.1637,-86.5257,84465,1402
Hemet,CA,Riverside,33.7352,-116.9946,84281,1168
Mount Pleasant,SC,Charleston,32.8532,-79.8269,84170,720
Trenton,NJ,Mercer,40.2237,-74.764,84056,4243
Santa Fe,NM,Santa Fe,35.6619,-105.9818,83875,617
Johns Creek,GA,Fulton,34.0333,-84.2027,83873,1051
Fayetteville,AR,Washington,36.0713,-94.166,83826,599
Troy,MI,Oakland,42.5817,-83.1458,83641,964
Mission,TX,Hidalgo,26.204,-98.3251,83563,907
Bryan,TX,Brazos,30.6661,-96.367,83260,710
Lake Forest,CA,Orange,33.6606,-117.6712,83240,1932
Buena Park,CA,Orange,33.8572,-118.0046,83156,3052
Largo,FL,Pinellas,27.9088,-82.7714,83065,1760
Cicero,IL,Cook,41.8445,-87.7593,82992,5463
Avondale,AZ,Maricopa,33.3858,-112.3236,82881,707
Sioux City,IA,Woodbury,42.4959,-96.3901,82872,547
Merced,CA,Merced,37.3057,-120.4779,82594,1372
Saint George,UT,Washington,37.0769,-113.5771,82318,416
Conroe,TX,Montgomery,30.3174,-95.4705,82286,583
Pleasanton,CA,Alameda,37.666,-121.8805,82270,1300
Longview,TX,Gregg,32.5192,-94.7622,82055,568
Medford,OR,Jackson,42.3372,-122.8537,81636,1223
Warwick,RI,Kent,41.7061,-71.4334,81579,898
Westland,MI,Wayne,42.3192,-83.3806,81545,1541
Somerville,MA,Middlesex,42.3908,-71.1013,81322,7617
Melbourne,FL,Brevard,28.1152,-80.653,81185,835
Lakewood,CA,Los Angeles,33.8471,-118.1222,81138,3326
Farmington Hills,MI,Oakland,42.486,-83.3771,81129,941
Cranston,RI,Providence,41.7658,-71.4858,81034,1103
Kennewick,WA,Benton,46.1979,-119.1732,80454,1134
Mountain View,CA,Santa Clara,37.4001,-122.0796,80447,2589
Napa,CA,Napa,38.2982,-122.3011,80416,1738
Tustin,CA,Orange,33.7309,-117.8106,80395,2791
Lynchburg,VA,Lynchburg (city),37.4004,-79.1911,80212,630
Lawrence,MA,Essex,42.7003,-71.1626,80209,4471
Deerfield Beach,FL,Broward,26.305,-80.1278,79764,2040
Brooklyn Park,MN,Hennepin,45.1112,-93.3505,79707,1179
New Rochelle,NY,Westchester,40.9305,-73.7836,79557,2967
Parma,OH,Cuyahoga,41.3842,-81.7286,79425,1531
Alameda,CA,Alameda,37.767,-122.2673,78906,2917
Chino Hills,CA,San Bernardino,33.9508,-117.7254,78822,681
Springdale,AR,Washington,36.1897,-94.1574,78557,652
Bloomington,IL,McLean,40.4756,-88.9698,78005,1103
Bellflower,CA,Los Angeles,33.888,-118.1271,77790,4909
Racine,WI,Racine,42.7274,-87.8135,77571,1933
Milpitas,CA,Santa Clara,37.4338,-121.8921,77528,2204
Auburn,WA,King,47.3039,-122.2108,77472,1008
Pharr,TX,Hidalgo,26.1687,-98.1904,77320,1267
Scranton,PA,Lackawanna,41.4043,-75.6649,77291,1179
Folsom,CA,Sacramento,38.6751,-121.1476,77271,1359
Goodyear,AZ,Maricopa,33.2613,-112.3622,77258,156
Plymouth,MN,Hennepin,45.0225,-93.4617,77216,912
Fort Myers,FL,Lee,26.6197,-81.8306,77146,751
Hammond,IN,Lake,41.617,-87.4908,77134,1307
Manteca,CA,San Joaquin,37.7938,-121.2271,76908,1445
Loveland,CO,Larimer,40.4168,-105.0622,76897,874
Lake Charles,LA,Calcasieu,30.203,-93.215,76848,704
Upland,CA,San Bernardino,34.1178,-117.6603,76684,1895
Saint Joseph,MO,Buchanan,39.7598,-94.821,76472,670
Baldwin Park,CA,Los Angeles,34.0829,-117.972,76464,4452
Gary,IN,Lake,41.5906,-87.3472,76424,591
Perris,CA,Riverside,33.7897,-117.2233,76331,938
Baytown,TX,Harris,29.7607,-94.9628,75992,761
Kalamazoo,MI,Kalamazoo,42.2749,-85.5882,75984,1188
Layton,UT,Davis,41.0773,-111.9618,75655,1326
